description_text, description_tts, occupation_time
"попить воды", "Попить воды", 0:03
"заняться спортом", "Заняться спортом", 2:30
"погулять со своей собакой", "погулять со своей собакой", 1:30
"сделать уборку", "сделать уборку", 2:00
"приготовить себе на завтра завтрак", "приготовить себе на завтра завтрак", 1:15
"прочитать 5 статей на Яндекс.Дзене", "прочитать 5 статей на яндекс дзене", 1:00
"позвонить другу", "позвонить другу", 3:00
"послушать лекцию", "послушать лекцию", 1:30
"прочитать несколько глав книги", "прочитать несколько глав книги", 1:10
"прочитать первый том «Войны и Мира»", "прочитать первый том войны и мира", 16:50
"переслушать ваш любимый альбом", "переслушать ваш любимый альбом", 0:35
"посмотреть фильм", "посмотреть фильм", 1:40
"посмотреть серию сериала", "посмотреть серию сериала", 0:50
"закрыть issue на вашем репозитории", "закрыть +ишью на вашем репозитории", 0:15
"помедитировать", "помедитировать", 0:05
"убрать свой рабочий стол", "убрать свой рабочий стол", 0:10
"погладить одежду", "погладить одежду", 0:25
"погладить кота", "погладить кота", 0:05
"полить растения", "полить растения", 0:05
"созвониться по проекту", "созвониться по проекту", 1:55